External_ID__c,Name,IsActive,ProductCode,CurrencyIsoCode,Description,Family,Product_Line__c,SBQQ__QuantityEditable__c,SBQQ__QuantityScale__c,Data_Content_Line__c,Do_Not_Fulfill__c,Do_Not_Integrate_to_NS__c,Fulfillment_Family__c,SBQQ__AssetAmendmentBehavior__c,SBQQ__AssetConversion__c,SBQQ__BatchQuantity__c,SBQQ__BillingFrequency__c,SBQQ__BillingType__c,SBQQ__BlockPricingField__c,SBQQ__ChargeType__c,SBQQ__Component__c,SBQQ__PricingMethod__c
EX-0020001,"Waco, TX - 1x",true,47380,USD,,DCC Geo,,true,,true,false,true,Horizon,Default,One per quote line,,,,Quantity,,false,List
EX-0020002,"Casper, WY - 1x",true,16220,USD,,DCC Geo,,true,,true,false,true,Horizon,Default,One per quote line,,,,Quantity,,false,List
EX-0020003,"Valdosta, GA - 1x",true,46660,USD,,DCC Geo,,true,,true,false,true,Horizon,Default,One per quote line,,,,Quantity,,false,List
EX-0020004,"Davenport-Moline-Rock Island, IA-IL - 1x",true,19340,USD,,DCC Geo,,true,,true,false,true,Horizon,Default,One per quote line,,,,Quantity,,false,List
EX-0020005,"Lewiston, ID-WA - 1x",true,30300,USD,,DCC Geo,,true,,true,false,true,Horizon,Default,One per quote line,,,,Quantity,,false,List
EX-0020006,"Honolulu, HI - 1x",true,26180,USD,,DCC Geo,,true,,true,false,true,Horizon,Default,One per quote line,,,,Quantity,,false,List
EX-0020007,"Hickory-Lenoir-Morganton, NC - 1x",true,25860,USD,,DCC Geo,,true,,true,false,true,Horizon,Default,One per quote line,,,,Quantity,,false,List
EX-0020008,"Chico, CA - 1x",true,17020,USD,,DCC Geo,,true,,true,false,true,Horizon,Default,One per quote line,,,,Quantity,,false,List
EX-0020009,"Hartford-West Hartford-East Hartford, CT - 1x",true,25540,USD,,DCC Geo,,true,,true,false,true,Horizon,Default,One per quote line,,,,Quantity,,false,List
EX-0020010,"Cape Coral-Fort Myers, FL - 1x",true,15980,USD,,DCC Geo,,true,,true,false,true,Horizon,Default,One per quote line,,,,Quantity,,false,List
EX-0020011,"Vero Beach, FL - 1x",true,46940,USD,,DCC Geo,,true,,true,false,true,Horizon,Default,One per quote line,,,,Quantity,,false,List
EX-0020012,"San Francisco-Oakland-Fremont, CA - 1x",true,41860,USD,,DCC Geo,,true,,true,false,true,Horizon,Default,One per quote line,,,,Quantity,,false,List
EX-0020016,"Johnson City, TN - 1x",true,27740,USD,,DCC Geo,,true,,true,false,true,Horizon,Default,One per quote line,,,,Quantity,,false,List
EX-0020022,"Jacksonville, NC - 1x",true,27340,USD,,DCC Geo,,true,,true,false,true,Horizon,Default,One per quote line,,,,Quantity,,false,List
EX-0020025,"St. Cloud, MN - 1x",true,41060,USD,,DCC Geo,,true,,true,false,true,Horizon,Default,One per quote line,,,,Quantity,,false,List
EX-0020026,"Punta Gorda, FL - 1x",true,39460,USD,,DCC Geo,,true,,true,false,true,Horizon,Default,One per quote line,,,,Quantity,,false,List
EX-0020028,"Dover, DE - 1x",true,20100,USD,,DCC Geo,,true,,true,false,true,Horizon,Default,One per quote line,,,,Quantity,,false,List
EX-0020029,"Iowa City, IA - 1x",true,26980,USD,,DCC Geo,,true,,true,false,true,Horizon,Default,One per quote line,,,,Quantity,,false,List
EX-0020032,"Wilmington, NC - 1x",true,48900,USD,,DCC Geo,,true,,true,false,true,Horizon,Default,One per quote line,,,,Quantity,,false,List
EX-0020033,"New Haven-Milford, CT - 1x",true,35300,USD,,DCC Geo,,true,,true,false,true,Horizon,Default,One per quote line,,,,Quantity,,false,List
EX-0020034,"Provo-Orem, UT - 1x",true,39340,USD,,DCC Geo,,true,,true,false,true,Horizon,Default,One per quote line,,,,Quantity,,false,List
EX-0020035,"Ogden-Clearfield, UT - 1x",true,36260,USD,,DCC Geo,,true,,true,false,true,Horizon,Default,One per quote line,,,,Quantity,,false,List
EX-0020036,"Kansas City, MO-KS - 1x",true,28140,USD,,DCC Geo,,true,,true,false,true,Horizon,Default,One per quote line,,,,Quantity,,false,List
EX-0020037,"Naples-Marco Island, FL - 1x",true,34940,USD,,DCC Geo,,true,,true,false,true,Horizon,Default,One per quote line,,,,Quantity,,false,List
EX-0020038,"Laredo, TX - 1x",true,29700,USD,,DCC Geo,,true,,true,false,true,Horizon,Default,One per quote line,,,,Quantity,,false,List
EX-0020039,"Modesto, CA - 1x",true,33700,USD,,DCC Geo,,true,,true,false,true,Horizon,Default,One per quote line,,,,Quantity,,false,List
EX-0020046,"Chicago-Naperville-Joliet, IL-IN-WI - 1x",true,16980,USD,,DCC Geo,,true,,true,false,true,Horizon,Default,One per quote line,,,,Quantity,,false,List
EX-0020047,"Springfield, MA - 1x",true,44140,USD,,DCC Geo,,true,,true,false,true,Horizon,Default,One per quote line,,,,Quantity,,false,List
EX-0020052,"Virginia Beach-Norfolk-Newport News, VA-NC - 1x",true,47260,USD,,DCC Geo,,true,,true,false,true,Horizon,Default,One per quote line,,,,Quantity,,false,List
EX-0020053,"Longview, WA - 1x",true,31020,USD,,DCC Geo,,true,,true,false,true,Horizon,Default,One per quote line,,,,Quantity,,false,List
EX-0020054,"Coeur d'Alene, ID - 1x",true,17660,USD,,DCC Geo,,true,,true,false,true,Horizon,Default,One per quote line,,,,Quantity,,false,List
EX-0020055,"Columbus, IN - 1x",true,18020,USD,,DCC Geo,,true,,true,false,true,Horizon,Default,One per quote line,,,,Quantity,,false,List
EX-0020056,"Topeka, KS - 1x",true,45820,USD,,DCC Geo,,true,,true,false,true,Horizon,Default,One per quote line,,,,Quantity,,false,List
EX-0020057,"Amarillo, TX - 1x",true,11100,USD,,DCC Geo,,true,,true,false,true,Horizon,Default,One per quote line,,,,Quantity,,false,List
EX-0020059,"Goldsboro, NC - 1x",true,24140,USD,,DCC Geo,,true,,true,false,true,Horizon,Default,One per quote line,,,,Quantity,,false,List
EX-0020060,"Binghamton, NY - 1x",true,13780,USD,,DCC Geo,,true,,true,false,true,Horizon,Default,One per quote line,,,,Quantity,,false,List
EX-0020061,"Kokomo, IN - 1x",true,29020,USD,,DCC Geo,,true,,true,false,true,Horizon,Default,One per quote line,,,,Quantity,,false,List
EX-0020062,"Olympia, WA - 1x",true,36500,USD,,DCC Geo,,true,,true,false,true,Horizon,Default,One per quote line,,,,Quantity,,false,List
EX-0020064,"Las Vegas-Paradise, NV - 1x",true,29820,USD,,DCC Geo,,true,,true,false,true,Horizon,Default,One per quote line,,,,Quantity,,false,List
EX-0020071,"Raleigh-Cary, NC - 1x",true,39580,USD,,DCC Geo,,true,,true,false,true,Horizon,Default,One per quote line,,,,Quantity,,false,List
EX-0020074,"Seattle-Tacoma-Bellevue, WA - 1x",true,42660,USD,,DCC Geo,,true,,true,false,true,Horizon,Default,One per quote line,,,,Quantity,,false,List
EX-0020075,"Anniston-Oxford, AL - 1x",true,11500,USD,,DCC Geo,,true,,true,false,true,Horizon,Default,One per quote line,,,,Quantity,,false,List
EX-0020076,"Charleston-North Charleston, SC - 1x",true,16700,USD,,DCC Geo,,true,,true,false,true,Horizon,Default,One per quote line,,,,Quantity,,false,List
EX-0020078,"Joplin, MO - 1x",true,27900,USD,,DCC Geo,,true,,true,false,true,Horizon,Default,One per quote line,,,,Quantity,,false,List
EX-0020079,"Mount Vernon-Anacortes, WA - 1x",true,34580,USD,,DCC Geo,,true,,true,false,true,Horizon,Default,One per quote line,,,,Quantity,,false,List
EX-0020080,"Milwaukee-Waukesha-West Allis, WI - 1x",true,33340,USD,,DCC Geo,,true,,true,false,true,Horizon,Default,One per quote line,,,,Quantity,,false,List
EX-0020086,"Bloomington, IN - 1x",true,14020,USD,,DCC Geo,,true,,true,false,true,Horizon,Default,One per quote line,,,,Quantity,,false,List
EX-0020087,"Columbia, SC - 1x",true,17900,USD,,DCC Geo,,true,,true,false,true,Horizon,Default,One per quote line,,,,Quantity,,false,List
EX-0020088,"Cleveland-Elyria-Mentor, OH - 1x",true,17460,USD,,DCC Geo,,true,,true,false,true,Horizon,Default,One per quote line,,,,Quantity,,false,List
EX-0020089,"Bremerton-Silverdale, WA - 1x",true,14740,USD,,DCC Geo,,true,,true,false,true,Horizon,Default,One per quote line,,,,Quantity,,false,List
EX-0020090,"Cumberland, MD-WV - 1x",true,19060,USD,,DCC Geo,,true,,true,false,true,Horizon,Default,One per quote line,,,,Quantity,,false,List
EX-0020091,"Stockton, CA - 1x",true,44700,USD,,DCC Geo,,true,,true,false,true,Horizon,Default,One per quote line,,,,Quantity,,false,List
EX-0020092,"Grand Junction, CO - 1x",true,24300,USD,,DCC Geo,,true,,true,false,true,Horizon,Default,One per quote line,,,,Quantity,,false,List
EX-0020093,"Little Rock-North Little Rock, AR - 1x",true,30780,USD,,DCC Geo,,true,,true,false,true,Horizon,Default,One per quote line,,,,Quantity,,false,List
EX-0020094,"Austin-Round Rock, TX - 1x",true,12420,USD,,DCC Geo,,true,,true,false,true,Horizon,Default,One per quote line,,,,Quantity,,false,List
EX-0020095,"Texarkana, TX-Texarkana, AR - 1x",true,45500,USD,,DCC Geo,,true,,true,false,true,Horizon,Default,One per quote line,,,,Quantity,,false,List
EX-0020096,"Tucson, AZ - 1x",true,46060,USD,,DCC Geo,,true,,true,false,true,Horizon,Default,One per quote line,,,,Quantity,,false,List
EX-0020097,"Los Angeles-Long Beach-Santa Ana, CA - 1x",true,31100,USD,,DCC Geo,,true,,true,false,true,Horizon,Default,One per quote line,,,,Quantity,,false,List
EX-0020098,"Blacksburg-Christiansburg-Radford, VA - 1x",true,13980,USD,,DCC Geo,,true,,true,false,true,Horizon,Default,One per quote line,,,,Quantity,,false,List
EX-0020099,"Trenton-Ewing, NJ - 1x",true,45940,USD,,DCC Geo,,true,,true,false,true,Horizon,Default,One per quote line,,,,Quantity,,false,List
EX-0020100,"Beaumont-Port Arthur, TX - 1x",true,13140,USD,,DCC Geo,,true,,true,false,true,Horizon,Default,One per quote line,,,,Quantity,,false,List
EX-0020101,"Fayetteville, NC - 1x",true,22180,USD,,DCC Geo,,true,,true,false,true,Horizon,Default,One per quote line,,,,Quantity,,false,List
EX-0020102,"Fort Smith, AR-OK - 1x",true,22900,USD,,DCC Geo,,true,,true,false,true,Horizon,Default,One per quote line,,,,Quantity,,false,List
EX-0020103,"Savannah, GA - 1x",true,42340,USD,,DCC Geo,,true,,true,false,true,Horizon,Default,One per quote line,,,,Quantity,,false,List
EX-0020104,"San Angelo, TX - 1x",true,41660,USD,,DCC Geo,,true,,true,false,true,Horizon,Default,One per quote line,,,,Quantity,,false,List
EX-0020105,"Battle Creek, MI - 1x",true,12980,USD,,DCC Geo,,true,,true,false,true,Horizon,Default,One per quote line,,,,Quantity,,false,List
EX-0020106,"Auburn-Opelika, AL - 1x",true,12220,USD,,DCC Geo,,true,,true,false,true,Horizon,Default,One per quote line,,,,Quantity,,false,List
EX-0020107,"Bridgeport-Stamford-Norwalk, CT - 1x",true,14860,USD,,DCC Geo,,true,,true,false,true,Horizon,Default,One per quote line,,,,Quantity,,false,List
EX-0020108,"Orlando, FL - 1x",true,36740,USD,,DCC Geo,,true,,true,false,true,Horizon,Default,One per quote line,,,,Quantity,,false,List
EX-0020109,"Pocatello, ID - 1x",true,38540,USD,,DCC Geo,,true,,true,false,true,Horizon,Default,One per quote line,,,,Quantity,,false,List
EX-0020110,"Port St. Lucie-Fort Pierce, FL - 1x",true,38940,USD,,DCC Geo,,true,,true,false,true,Horizon,Default,One per quote line,,,,Quantity,,false,List
EX-0020111,"Pittsburgh, PA - 1x",true,38300,USD,,DCC Geo,,true,,true,false,true,Horizon,Default,One per quote line,,,,Quantity,,false,List
EX-0020112,"Providence-New Bedford-Fall River, RI-MA - 1x",true,39300,USD,,DCC Geo,,true,,true,false,true,Horizon,Default,One per quote line,,,,Quantity,,false,List
EX-0020113,"Billings, MT - 1x",true,13740,USD,,DCC Geo,,true,,true,false,true,Horizon,Default,One per quote line,,,,Quantity,,false,List
EX-0020114,"Winchester, VA-WV - 1x",true,49020,USD,,DCC Geo,,true,,true,false,true,Horizon,Default,One per quote line,,,,Quantity,,false,List
EX-0020115,"Oklahoma City, OK - 1x",true,36420,USD,,DCC Geo,,true,,true,false,true,Horizon,Default,One per quote line,,,,Quantity,,false,List
EX-0020116,"Prescott, AZ - 1x",true,39140,USD,,DCC Geo,,true,,true,false,true,Horizon,Default,One per quote line,,,,Quantity,,false,List
