External_Id__c,SBQQ__FilterType__c,SBQQ__FilterValue__c,SBQQ__FilterVariable__r.External_Id__c,SBQQ__Index__c,SBQQ__Operator__c,SBQQ__Rule__r.External_Id__c,SBQQ__TestedAttribute__c,SBQQ__TestedField__c,SBQQ__TestedObject__c,SBQQ__TestedVariable__r.External_Id__c
,Value,1,,,greater or equals,,,,Quote,EX-000005
,Value,Quote,,,equals,EX-20230105.01,,SBQQ__Type__c,Quote,
,Value,0,,,not equals,,,,,EX-000013
,Value,1,,,less than,,,,,EX-000012
,Value,0053J0000021vLTQAY,,,equals,,,SBQQ__SalesRep__c,Quote,
,Value,0,,,not equals,,,,,EX-000011
,Value,,,,equals,,,Shipping_Address__c,Quote Line,
,Value,Exposure,,,equals,,,Product_Line__c,Quote Line,
,Value,Print,,,equals,,,Product_Line__c,Quote Line,
,Value,NETNEW,,,equals,,,Unit Price,Configuration Attributes,
,Value,,,,equals,,,Account_Sequence__c,Quote Line,
,Value,0,,,equals,,,,,EX-000011
,Value,0,,,equals,EX-20230305.06,,,Quote Line,EX-20230505.01
,Value,True,,,equals,EX-20230305.06,,Is_Geo_Required__c,Quote Line,
,Value,DCCSEATS,,,equals,EX-20230105.01,,SBQQ__ProductCode__c,Quote Line,
,Value,0,,,equals,EX-20230105.01,,SBQQ__EffectiveQuantity__c,Quote Line,
,Value,0053J0000021vLTQAY,,,equals,,,SBQQ__SalesRep__c,Quote,
